appid,action,adventure,fps,moba,platformer,puzzle,rpg,rts,sandbox,sports,survival
10,2681,0,2048,0,0,0,0,0,0,0,192
20,208,15,188,0,0,0,0,0,0,0,0
30,99,0,138,0,0,0,0,0,0,0,0
40,85,0,71,0,0,0,0,0,0,0,0
50,211,87,235,0,0,18,0,0,0,0,0
60,108,0,71,0,16,0,0,0,0,0,0
70,766,306,929,0,0,0,0,0,0,0,0
80,377,40,311,0,0,0,0,0,0,0,22
130,187,66,213,0,0,10,0,0,0,0,0
220,1761,937,2056,0,0,403,0,0,0,0,0
240,1785,0,1617,0,0,0,0,0,129,0,202
280,186,68,213,0,0,0,0,0,0,0,0
300,224,0,287,0,0,0,0,0,0,0,0
320,199,14,194,0,0,0,0,0,0,0,0
340,208,67,239,0,0,0,0,0,0,0,0
360,101,0,94,0,0,0,0,0,0,0,0
380,354,165,434,0,0,74,0,0,0,0,0
400,674,377,421,0,539,2082,0,0,0,0,0
420,444,206,536,0,0,97,0,0,0,0,0
440,8188,0,9248,0,0,0,0,0,0,0,0
500,633,184,665,0,0,0,0,0,0,0,336
550,2804,896,3338,0,0,0,0,0,0,0,1886
570,5168,0,0,8830,0,0,2447,2594,0,0,0
620,1225,1644,752,0,577,4024,0,0,0,0,0
630,505,90,0,0,0,0,0,0,0,0,201
730,12973,0,20508,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0,0,0,0
1200,110,0,96,0,0,0,0,0,0,0,0
1250,832,100,1148,0,0,0,0,0,0,0,895
1300,59,0,55,0,0,0,0,0,0,0,0
1309,53,0,48,0,0,0,0,0,0,0,0
1313,53,0,48,0,0,0,0,0,0,0,0
1500,12,0,0,0,0,0,0,56,0,0,0
1510,0,0,0,0,0,5,0,0,0,0,0
1520,0,0,0,0,0,0,0,39,0,0,0
1530,0,0,0,0,0,0,0,30,0,0,0
1600,0,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,7,0,0,0,0
1640,0,0,0,0,0,0,17,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0
1690,0,0,0,0,0,0,0,0,0,0,0
1700,36,29,0,0,0,0,145,0,0,0,0
1840,114,0,0,0,0,0,0,0,154,0,0
1900,0,0,0,0,0,0,0,46,0,0,0
1930,41,47,0,0,0,0,149,0,0,0,0
2100,331,175,27,0,0,0,348,0,0,0,0
2200,127,0,161,0,0,0,0,0,0,0,0
2210,101,7,112,0,0,0,0,0,0,0,0
2270,120,7,158,0,0,0,0,0,0,0,0
2280,184,0,250,0,0,0,0,0,0,0,0
2290,93,0,95,0,0,0,0,0,0,0,0
2300,154,0,190,0,0,0,0,0,0,0,0
2310,178,0,235,0,0,0,0,0,0,0,0
2320,115,0,115,0,0,0,0,0,0,0,0
2330,34,0,16,0,0,0,0,0,0,0,0
2340,34,0,18,0,0,0,0,0,0,0,0
2350,41,0,32,0,0,0,0,0,0,0,0
2360,44,0,37,0,0,0,6,0,0,0,0
2370,35,0,16,0,0,0,0,0,0,0,0
2390,47,0,47,0,0,0,0,0,0,0,0
2400,128,39,43,0,0,0,104,0,0,0,55
2420,40,0,10,0,0,0,39,0,0,0,0
2450,60,0,30,0,0,0,0,0,0,0,0
2500,100,11,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,0
2540,13,0,0,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,7,22,0,0,0,0
2590,68,0,63,0,0,0,0,0,0,0,0
2600,316,99,0,0,0,0,792,0,0,0,0
2610,74,32,0,0,0,0,5,0,20,0,0
2620,154,0,172,0,0,0,0,0,0,0,0
2630,157,9,152,0,0,0,0,0,0,0,0
2640,74,0,62,0,0,0,0,0,0,0,0
2700,0,0,0,0,0,0,0,0,187,0,0
2710,27,0,0,0,0,0,0,16,0,0,0
2720,25,0,0,0,0,0,0,0,0,0,0
2780,36,0,12,0,0,0,0,0,0,0,0
2800,12,0,0,0,0,0,0,0,15,0,0
2810,19,0,0,0,0,0,0,0,52,0,0
2820,61,0,0,0,0,0,0,0,137,0,0
2840,7,0,0,0,0,0,0,0,12,0,0
2850,7,0,0,0,0,0,0,0,7,0,0
2870,148,21,0,0,0,0,0,0,128,0,0
2900,0,0,0,0,0,0,0,0,0,0,0
2910,0,0,0,0,0,0,0,0,0,0,0
2920,0,0,0,0,0,0,0,0,0,0,0
2990,65,0,0,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,0,0,0,0,0,0
3020,72,32,63,0,0,0,0,0,0,0,0
3050,0,0,0,0,0,0,0,0,0,0,0
3130,0,0,0,0,0,0,0,18,0,0,0
3170,0,27,0,0,0,0,103,0,0,0,0
3230,0,0,0,0,0,0,0,7,0,0,0
3260,0,36,0,0,0,40,0,0,0,0,0
3270,51,0,28,0,0,0,0,0,0,0,0
3300,0,0,0,0,0,17,0,0,0,0,0
3310,0,0,0,0,0,22,0,0,0,0,0
3320,14,0,0,0,0,0,0,0,0,0,0
3330,0,0,0,0,0,14,0,0,0,0,0
3340,0,0,0,0,0,8,0,0,0,0,0
3350,0,0,0,0,0,11,0,0,0,0,0
3360,0,0,0,0,0,0,0,0,0,0,0
3380,0,0,0,0,0,6,0,0,0,0,0
3390,0,0,0,0,0,0,0,0,0,0,0
3400,0,0,0,0,0,0,0,0,0,0,0
3410,6,0,0,0,0,0,0,0,0,0,0
3420,0,0,0,0,0,0,0,0,0,0,0
3430,0,0,0,0,0,0,0,0,0,0,0
3440,0,0,0,0,0,5,0,0,0,0,0
3450,0,0,0,0,0,0,0,0,0,0,0
3460,0,0,0,0,0,5,0,0,0,0,0
3480,0,0,0,0,0,53,0,0,0,0,0
3483,8,0,0,0,0,24,0,0,0,0,0
3490,0,0,0,0,0,0,0,0,0,0,0
3500,0,0,0,0,0,0,0,0,0,0,0
3510,0,0,0,0,0,5,0,0,0,0,0
3520,0,0,0,0,0,0,0,0,0,0,0
3530,0,0,0,0,0,6,0,0,0,0,0
3540,0,0,0,0,0,25,0,0,0,0,0
3560,0,0,0,0,0,13,0,0,0,0,0
3570,0,0,0,0,0,0,0,0,0,0,0
3580,0,0,0,0,0,0,0,0,0,0,0
3590,0,56,0,0,0,155,0,0,0,0,101
3600,0,9,0,0,0,21,0,0,0,0,0
3610,0,0,0,0,0,0,0,0,0,0,0
3620,30,0,0,0,0,15,0,0,0,0,0
3700,86,0,30,0,0,0,0,0,0,0,0
3710,39,0,22,0,0,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,53,6,0,0
3730,88,0,101,0,0,0,0,0,0,0,0
3800,47,0,0,0,0,0,0,0,0,0,0
3810,54,0,0,0,0,0,0,0,0,0,0
3820,53,0,0,0,0,0,0,0,0,0,0
3830,325,398,0,0,502,0,0,0,0,0,0
3900,0,0,0,0,0,0,0,0,0,0,0
3910,0,0,0,0,0,0,0,0,0,0,0
3920,48,100,0,0,0,0,127,0,74,0,0
3960,0,0,0,0,0,0,0,0,0,0,0
3980,0,0,0,0,0,0,0,0,0,0,0
3990,0,0,0,0,0,0,0,0,0,0,0
4000,4459,3736,4823,0,0,0,0,0,11796,0,0
4100,0,0,0,0,0,0,0,0,0,0,0
4230,0,0,0,0,0,0,0,0,0,0,0
4290,0,0,0,0,0,0,0,0,0,0,0
4300,29,0,0,0,0,9,0,0,0,0,0
4420,5,0,0,0,0,0,34,0,0,0,0
4460,0,0,0,0,0,0,0,0,0,0,0
4470,5,0,0,0,0,0,32,0,0,0,0
4500,508,225,757,0,0,0,425,0,0,0,652
4520,33,0,0,0,0,0,0,0,0,0,0
4530,26,0,0,0,0,0,0,0,0,0,0
4560,244,0,0,0,0,0,0,414,0,0,0
4570,39,0,0,0,0,0,0,191,0,0,0
4580,32,13,0,0,0,0,0,162,0,0,0
4700,66,0,0,0,0,0,0,197,45,0,0
4720,97,0,40,0,0,0,0,0,0,0,14
4760,46,0,0,0,0,0,0,198,0,0,0
4770,0,0,0,0,0,0,0,34,0,0,0
4780,0,0,0,0,0,0,0,43,0,0,0
4800,0,0,0,0,0,0,17,24,0,0,0
4850,0,0,0,0,0,0,0,46,0,0,0
4870,0,0,0,0,0,0,0,12,0,0,0
4880,0,0,0,0,0,0,0,12,0,0,0
4890,0,0,0,0,0,0,0,16,0,0,0
4900,0,0,0,0,0,11,0,0,0,0,0
4920,426,44,507,0,0,0,0,316,0,0,0
6000,330,94,328,0,0,0,0,0,0,0,0
6010,0,109,0,0,0,0,0,0,0,0,0
6020,191,76,82,0,0,0,49,0,0,0,0
6030,144,41,80,0,0,0,0,0,0,0,0
6040,0,110,0,0,0,0,0,0,0,0,0
6060,707,161,518,0,0,0,0,0,0,0,0
6080,23,23,0,0,0,0,0,0,0,0,0
6090,26,0,0,0,0,0,0,0,0,0,0
6120,108,16,0,0,47,0,0,0,0,0,0
6200,0,0,0,0,0,42,0,0,19,0,0
6210,0,0,0,0,0,0,0,0,0,0,0
6220,32,0,0,0,0,0,0,0,0,0,0
6250,26,0,0,0,0,0,0,0,0,0,0
6270,0,0,0,0,0,0,0,0,0,0,0
6300,0,144,0,0,0,0,41,0,0,0,0
6310,25,211,0,0,0,30,29,0,0,0,0
6370,59,0,0,54,0,0,22,0,0,0,0
6400,23,0,0,0,0,0,0,11,0,0,0
6420,0,0,0,0,0,0,0,28,0,0,0
6510,76,55,0,0,0,0,0,0,0,0,0
6550,174,44,0,0,0,0,0,0,0,0,0
6600,0,0,0,0,0,0,0,0,0,0,0
6800,62,0,0,0,0,0,0,32,0,0,0
6810,44,0,0,0,0,0,0,14,0,0,0
6830,74,0,0,0,0,0,0,31,0,0,0
6840,55,0,0,0,0,0,0,24,0,0,0
6850,113,15,16,0,0,0,0,0,33,0,0
6860,224,0,0,0,0,62,0,0,56,0,0
6870,48,0,0,0,0,0,0,0,0,0,0
6880,124,49,0,0,0,0,0,0,47,0,0
6900,104,5,0,0,0,0,0,0,13,0,0
6910,377,0,509,0,0,0,683,0,0,0,0
6920,118,9,111,0,0,0,110,0,0,0,0
6980,110,46,0,0,0,0,6,0,0,0,0
7000,126,128,0,0,59,65,0,0,0,0,0
7010,35,0,19,0,0,0,0,0,0,0,0
7020,45,0,0,0,0,0,0,0,0,0,0
7110,59,27,0,0,0,0,159,0,0,0,0
7200,0,0,0,0,0,0,0,0,0,0,0
7210,0,63,0,0,0,10,0,0,0,0,0
7220,0,44,0,0,0,0,0,0,0,0,0
7260,8,0,0,0,0,0,27,0,0,0,0
7340,0,0,0,0,0,8,0,0,0,0,0
7510,98,64,0,0,0,0,66,0,0,0,0
7520,50,62,0,0,0,0,249,0,0,0,0
7530,0,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,0,0,0,0,0,0,0
7610,0,0,0,0,0,0,0,0,0,0,0
7620,0,0,0,0,0,0,0,0,0,0,0
7650,0,0,0,0,0,0,0,0,0,0,0
7660,0,0,0,0,0,0,0,0,0,0,0
7670,819,333,1072,0,0,0,421,0,0,0,0
7730,0,0,0,0,0,0,0,0,0,0,0
7760,0,0,0,0,0,0,0,0,0,0,0
7770,18,0,0,0,0,0,0,0,0,0,0
7830,40,0,9,0,0,0,0,88,0,0,0
7840,11,0,0,0,0,0,0,0,0,0,0
7860,54,0,44,0,0,0,0,0,0,0,0
7940,447,0,500,0,0,0,0,0,0,0,0
8000,133,132,0,0,65,81,0,0,0,0,0
8080,96,9,0,0,0,0,0,0,0,0,0
8100,28,0,14,0,0,0,0,0,0,0,0
8140,134,155,0,0,53,71,0,0,0,0,0
8170,71,0,0,0,0,0,0,36,0,0,0
8190,1121,625,0,0,0,0,0,0,728,0,0
8200,23,61,0,0,0,7,0,0,0,0,0
8210,20,23,0,0,0,0,0,0,0,0,0
8220,21,23,0,0,0,0,0,0,0,0,0
8230,20,28,0,0,0,0,0,0,0,0,0
8240,20,22,0,0,0,0,0,0,0,0,0
8250,20,22,0,0,0,0,0,0,0,0,0
8260,0,22,0,0,0,0,0,0,0,0,0
8270,0,21,0,0,0,0,0,0,0,0,0
8280,0,22,0,0,0,0,0,0,0,0,0
8290,0,20,0,0,0,0,0,0,0,0,0
8300,0,20,0,0,0,0,0,0,0,0,0
8310,0,33,0,0,0,0,0,0,0,0,0
8320,0,30,0,0,0,0,0,0,0,0,0
8330,0,0,0,0,0,0,0,0,0,0,0
8340,0,54,0,0,0,0,0,0,0,0,0
8400,13,0,0,0,0,0,0,0,0,0,0
8500,130,0,0,0,0,0,293,0,472,0,0
8600,0,0,0,0,0,0,0,0,0,22,0
8790,0,0,0,0,0,0,0,0,0,37,0
8800,0,0,0,0,0,0,0,0,0,0,0
8850,401,107,512,0,0,0,107,0,0,0,0
8870,1918,708,2331,0,0,0,183,0,0,0,0
8880,0,0,0,0,0,0,62,0,0,0,0
8890,0,0,0,0,0,0,36,0,0,0,0
8930,0,0,0,0,0,0,0,0,0,0,0
8970,0,0,0,0,0,0,0,0,0,0,0
8980,664,203,893,0,0,0,748,0,0,0,0
9000,45,0,38,0,0,0,0,0,0,0,0
9010,169,25,179,0,0,0,0,0,0,0,0
9030,36,0,20,0,0,0,0,0,0,0,0
9040,39,0,24,0,0,0,0,0,0,0,0
9050,195,14,228,0,0,0,0,0,0,0,0
9060,42,0,34,0,0,0,6,0,0,0,0
9160,55,0,43,0,0,0,0,0,0,0,0
9180,51,5,0,0,85,0,0,0,0,0,0
9200,349,111,443,0,0,0,105,0,0,0,58
9310,13,0,0,0,0,0,0,71,0,0,0
9340,59,0,0,0,0,0,0,63,0,0,0
9350,20,0,0,0,0,0,0,154,0,0,0
9420,37,17,0,0,0,0,0,235,0,0,0
9450,35,15,0,0,0,0,0,168,0,0,0
9460,55,0,36,0,0,0,0,0,0,0,0
9480,348,66,0,0,0,0,0,0,236,0,0
9500,0,0,0,0,48,19,0,0,0,0,0
9710,29,0,0,0,0,0,0,0,0,0,0
9760,28,0,0,0,0,0,0,10,0,0,0
9800,45,35,0,0,0,0,0,0,0,0,0
9850,0,0,0,0,0,0,0,19,0,0,0
9880,60,27,13,0,0,0,115,0,0,0,0
9900,133,95,0,0,0,0,257,0,0,0,0
9940,83,73,0,0,85,0,0,0,0,0,0
9960,0,22,0,0,0,0,0,0,0,0,0
9970,24,0,0,0,0,0,0,0,0,0,0
9980,0,0,0,0,0,11,0,0,0,0,0
10090,620,210,665,0,0,0,0,0,0,0,255
10100,0,53,0,0,0,0,0,0,0,0,0
10110,0,62,0,0,0,0,0,0,0,0,0
10120,22,0,0,0,0,0,0,0,0,0,0
10130,89,0,77,0,0,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,0,53,0
10150,364,217,0,0,0,0,70,0,86,0,0
10180,1023,167,905,0,0,0,0,0,0,0,0
10220,112,14,12,0,0,0,0,0,23,0,0
10230,0,27,0,0,0,0,0,0,0,0,0
10240,0,25,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0,0
10270,0,0,0,0,0,0,133,0,0,0,0
10460,26,0,0,0,0,0,0,0,0,0,0
10500,101,59,0,0,0,0,0,224,0,0,0
10520,0,0,0,0,0,0,0,0,0,0,0
10680,418,80,367,0,0,0,0,0,0,0,143
11020,63,36,0,0,0,0,0,0,39,41,0
11040,0,43,0,0,0,11,23,0,0,0,0
11050,0,37,0,0,0,6,0,0,0,0,0
11130,0,40,0,0,0,0,0,0,0,0,0
11140,0,44,0,0,0,0,0,0,0,0,0
11150,0,34,0,0,0,0,0,0,0,0,0
11180,0,35,0,0,0,0,0,0,0,0,0
11190,0,49,0,0,0,18,22,0,0,0,0
11200,73,0,0,0,0,0,0,0,0,0,0
11230,0,0,0,0,14,0,0,0,0,0,0
11240,59,0,43,0,0,0,0,0,0,0,0
11250,0,0,0,0,0,0,0,0,0,0,0
11260,0,0,0,0,0,0,0,0,0,0,0
11280,39,0,24,0,0,0,0,0,0,0,0
11330,0,0,0,0,0,67,0,0,0,0,0
11340,58,10,0,0,0,0,20,0,0,0,0
11360,0,0,0,0,0,47,0,0,0,0,0
